Av_target,Is,RE,RC,Av_Real,Percentual
8,0.0002,7846.45539871064,150000.0,7.9083681800963035,98.8546022512038
8,0.00030000000000000003,5001.948559251705,99999.99999999999,7.890464245921791,98.6308030740224
8,0.0004,3606.65574708221,75000.0,7.874833147722171,98.43541434652714
8,0.0005,2783.263510954335,60000.0,7.8606629587945065,98.25828698493133
8,0.0006000000000000001,2242.49436297724,49999.99999999999,7.847534998566985,98.0941874820873
8,0.0007000000000000001,1861.5299716531786,42857.14285714285,7.835199807499649,97.9399975937456
8,0.0008,1579.47769935532,37500.0,7.823494475597315,97.79368094496644
8,0.0009000000000000001,1362.7704980548033,33333.33333333333,7.812305698248068,97.65382122810084
8,0.001,1191.414072975335,30000.0,7.8015508105682585,97.51938513210322
8,0.0011,1052.7718465926712,27272.727272727272,7.791167361152418,97.38959201440522
8,0.0012000000000000001,938.474279625855,24999.999999999996,7.781106745521171,97.26383431901465
8,0.0013000000000000002,842.7631731252837,23076.923076923074,7.77133032355799,97.14162904447488
8,0.0014000000000000002,761.5501595882843,21428.571428571424,7.761806688361972,97.02258360452464
8,0.0015,691.85442781405,20000.0,7.752509951684772,96.90637439605965
8,0.0016,631.452873541105,18750.0,7.743418449253525,96.79273061566906
8,0.0017000000000000001,578.6547035738975,17647.05882352941,7.734513835161394,96.68142293951743
8,0.0018000000000000002,532.1517995702167,16666.666666666664,7.72578044220289,96.57225552753613
8,0.0019000000000000002,490.91675029732727,15789.473684210525,7.717204690922941,96.46505863653675
8,0.002,454.131755477168,15000.0,7.708774785358941,96.35968481698676
10,2.5e-05,55676.62298832883,1200000.0,9.937574984744302,99.37574984744302
10,5e-05,26942.910797421286,600000.0,9.922349429811916,99.22349429811916
10,0.0001,12838.311494164414,300000.0,9.899540163375065,98.99540163375065
10,0.0002,5971.45539871064,150000.0,9.865507161867981,98.65507161867981
10,0.00030000000000000003,3751.948559251705,99999.99999999999,9.838136793196028,98.38136793196028
10,0.0004,2669.15574708221,75000.0,9.814251437922294,98.14251437922294
10,0.0005,2033.263510954335,60000.0,9.792606565545725,97.92606565545725
10,0.0006000000000000001,1617.49436297724,49999.99999999999,9.772560905949135,97.72560905949135
10,0.0007000000000000001,1325.8156859388928,42857.14285714285,9.753732450964847,97.53732450964847
10,0.0008,1110.72769935532,37500.0,9.735871745245461,97.35871745245461
10,0.0009000000000000001,946.1038313881367,33333.33333333333,9.718805226894034,97.18805226894034
10,0.001,816.414072975335,30000.0,9.702406333064673,97.02406333064673
10,0.0011,711.86275568358,27272.727272727272,9.686579370456272,96.86579370456272
10,0.0012000000000000001,625.974279625855,24999.999999999996,9.671249941448323,96.71249941448323
