Av1,Is_mA,IRB_mA,Ic_2E_mA,RE_1E,RC_1E,RBuffer,RVBE_BUFFER,RE_2E,RC_2E,Av2,Av_total
8,0.5,1.0,1.5,2783.263510954335,60000.0,14470.0,4000.0,9293.333333333332,121766.71280442222,12.58,100.67398740488099
10,0.5,1.0,1.5,2033.263510954335,60000.0,14470.0,4000.0,9293.333333333332,97610.10962948926,10.07,100.67830649218519
12,0.5,1.0,1.5,1533.263510954335,60000.0,14470.0,4000.0,9293.333333333332,81539.84058774481,8.39,100.68078560223428
6,0.5,1.0,2.0,4033.263510954335,60000.0,14470.0,4000.0,6970.0,121634.20165616811,16.78,100.66611129657069
8,0.5,1.0,2.0,2783.263510954335,60000.0,14470.0,4000.0,6970.0,91330.82404061884,12.58,100.67377936735544
10,0.5,1.0,2.0,2033.263510954335,60000.0,14470.0,4000.0,6970.0,73211.56528936996,10.07,100.6779364039467
12,0.5,1.0,2.0,1533.263510954335,60000.0,14470.0,4000.0,6970.0,61158.110409298395,8.39,100.68072989717207
6,0.5,1.0,2.5,4033.263510954335,60000.0,14470.0,4000.0,5576.0,97315.11333164971,16.78,100.66584580648303
8,0.5,1.0,2.5,2783.263510954335,60000.0,14470.0,4000.0,5576.0,73069.61547610443,12.58,100.67365695309343
10,0.5,1.0,2.5,2033.263510954335,60000.0,14470.0,4000.0,5576.0,58572.71327584627,10.07,100.67797099972769
12,0.5,1.0,2.5,1533.263510954335,60000.0,14470.0,4000.0,5576.0,48929.15761451515,8.39,100.68050950898932
6,0.5,1.0,3.0,4033.263510954335,60000.0,14470.0,4000.0,4646.666666666666,81102.47734854312,16.78,100.66545809367128
8,0.5,1.0,3.0,2783.263510954335,60000.0,14470.0,4000.0,4646.666666666666,60895.50800720572,12.58,100.67346516579687
10,0.5,1.0,3.0,2033.263510954335,60000.0,14470.0,4000.0,4646.666666666666,48813.562245367364,10.07,100.67768407323285
12,0.5,1.0,3.0,1533.263510954335,60000.0,14470.0,4000.0,4646.666666666666,40776.46420518032,8.39,100.68028850417775
